patent_id,sketch_id,status,micro,short,iso,n_edges,med_edge,n_prim,mean_conf,low_conf,budget_n,prim_src
EP1467415B1,F0003,quality_gate_stage2,0.91015625,0.921875,0.0012132977432661976,258,2.0,,,,,diagnostic
EP1838040B1,F0001,ok,0.12951807228915663,0.286144578313253,0.0007002392484098734,345,20.556349186104047,365,0.7823084630859275,0.24057971014492754,,canonical
EP1839350B1,F0002,ok,0.27936507936507937,0.4095238095238095,0.0002882739045591627,327,43.04163056034261,364,0.7054360159206843,0.3669724770642202,,canonical
EP1833535B1,F0001,quality_gate_stage2,0.7221505376344086,0.7750537634408602,0.0005960396476743416,2376,1.0,,,,,diagnostic
EP1974619B1,F0001,quality_gate_stage3,0.46642685851318944,0.5371702637889688,0.0004127541017438861,869,9.414213562373096,978,0.805819140683836,0.20138089758342922,2344.0,canonical
EP1923025B1,F0001,quality_gate_stage3,0.2129032258064516,0.4129032258064516,0.0048377581120943956,315,24.86396103067893,356,0.7984404028285015,0.1873015873015873,1038.0,canonical
EP2143139B1,F0001,ok,0.3103448275862069,0.4885057471264368,0.003919234012997966,186,18.242640687119284,210,0.7538911026641935,0.27419354838709675,,canonical
EP2005342B1,F0006,quality_gate_stage2,0.504424778761062,0.6415929203539823,0.0027908599337170764,251,5.035533905932738,,,,,diagnostic
EP2162724B1,F0001,quality_gate_stage3,0.26703296703296703,0.4208791208791209,4.0090604766772906e-05,945,17.414213562373096,945,0.8113513647485237,0.2052910052910053,945.0,canonical
EP2326827B1,F0001,quality_gate_stage3,0.16421895861148197,0.308411214953271,0.00011733154542406972,779,39.31370849898475,816,0.7319449768136602,0.2862644415917843,1267.0,canonical
EP2214148B1,F0008,ok,0.4219269102990033,0.4983388704318937,0.00042264052797555185,318,15.071067811865477,351,0.764140254061298,0.27358490566037735,,canonical
EP2430983B1,F0002,quality_gate_stage3,0.16981132075471697,0.33962264150943394,0.0006450225757901526,53,37.24264068711928,53,0.6735315557402866,0.37735849056603776,53.0,canonical
EP2433378B1,F0003,quality_gate_stage3,0.26119402985074625,0.29850746268656714,5.973715651135006e-05,139,33.24264068711929,148,0.6935193975811448,0.37410071942446044,151.0,canonical
EP2472954B1,F0001,quality_gate_stage3,0.2222222222222222,0.30303030303030304,0.00031121139033688633,131,37.82842712474619,133,0.6732953860204007,0.40458015267175573,133.0,canonical
EP2565056B1,F0001,quality_gate_stage2,0.588865096359743,0.6359743040685225,0.0,477,3.414213562373095,,,,,diagnostic
