run,patent_id,sketch_id,status,stage2_chamfer_p95,stage2_chamfer_sym,stage2_f1_at_2px,stage2_precision_at_2px,stage2_recall_at_2px,stage3_chamfer_p95,stage3_chamfer_sym,stage3_f1_at_2px,stage3_precision_at_2px,stage3_recall_at_2px
canonical,EP2143139B1,F0001,ok,0.0,0.05266689037646206,0.9983406174772712,1.0,0.996686732932008,1.0,0.2088408484329246,0.9977548254280448,0.9999525346497057,0.99556675533156
cohort,EP2143139B1,F0001,ok,0.0,0.05266689037646206,0.9983406174772712,1.0,0.996686732932008,1.0,0.2088408484329246,0.9977548254280448,0.9999525346497057,0.99556675533156
canonical,EP2162724B1,F0001,quality_gate_stage3,0.0,0.00013029446549201194,0.9999799542957943,1.0,0.9999599093952333,1.0,0.22872120686887054,0.9994880276891074,0.9999185551686927,0.9990578707879808
cohort,EP2162724B1,F0001,quality_gate_stage3,0.0,0.00013029446549201194,0.9999799542957943,1.0,0.9999599093952333,1.0,0.22872120686887054,0.9994880276891074,0.9999185551686927,0.9990578707879808
canonical,EP2214148B1,F0008,ok,0.0,0.0012442539879713018,0.999807301780235,1.0,0.9996146778113699,1.0,0.0920668524191923,0.999480865709357,0.9999699753798115,0.9989922342758907
cohort,EP2214148B1,F0008,ok,0.0,0.0012442539879713018,0.999807301780235,1.0,0.9996146778113699,1.0,0.0920668524191923,0.999480865709357,0.9999699753798115,0.9989922342758907
canonical,EP2326827B1,F0001,quality_gate_stage3,0.0,0.00020740330258408902,0.999943084340876,1.0,0.9998861751601678,1.0,0.23729467902082108,0.9983195541311064,0.9996999249812453,0.9969429900159354
cohort,EP2326827B1,F0001,quality_gate_stage3,0.0,0.00020740330258408902,0.999943084340876,1.0,0.9998861751601678,1.0,0.23729467902082108,0.9983195541311064,0.9996999249812453,0.9969429900159354
canonical,EP2430983B1,F0002,quality_gate_stage3,0.0,0.004938728812132019,0.9996773846650178,1.0,0.9993549774242099,1.0,0.2018962550654538,0.99956979995698,1.0,0.9991399698989465
cohort,EP2430983B1,F0002,quality_gate_stage3,0.0,0.004938728812132019,0.9996773846650178,1.0,0.9993549774242099,1.0,0.2018962550654538,0.99956979995698,1.0,0.9991399698989465
canonical,EP2433378B1,F0003,quality_gate_stage3,0.0,0.0003861171763327795,0.9999703852874108,1.0,0.999940772328832,1.0,0.1379684831704844,0.9996445076430857,1.0,0.9992892679459844
cohort,EP2433378B1,F0003,quality_gate_stage3,0.0,0.0003861171763327795,0.9999703852874108,1.0,0.999940772328832,1.0,0.1379684831704844,0.9996445076430857,1.0,0.9992892679459844
canonical,EP2472954B1,F0001,quality_gate_stage3,0.0,0.003295340001550748,0.9998449011244668,1.0,0.9996898503527952,1.0,0.1764931973421427,0.9980562831664999,0.9997626394493235,0.9963557416453439
cohort,EP2472954B1,F0001,quality_gate_stage3,0.0,0.003295340001550748,0.9998449011244668,1.0,0.9996898503527952,1.0,0.1764931973421427,0.9980562831664999,0.9997626394493235,0.9963557416453439
canonical,EP2565056B1,F0001,quality_gate_stage2,0.0,0.0,1.0,1.0,1.0,,,,,
cohort,EP2565056B1,F0001,quality_gate_stage2,0.0,0.0,1.0,1.0,1.0,1.0,0.10083847215794742,0.9999376115194091,1.0,0.9998752308229775
canonical,EP2623349B1,F0001,quality_gate_stage2,0.0,0.0575172163951444,0.987110491750035,1.0,0.9745490339371071,,,,,
cohort,EP2623349B1,F0001,quality_gate_stage2,0.0,0.0575172163951444,0.987110491750035,1.0,0.9745490339371071,2.23606797749979,0.4987594348869775,0.9498840085480674,0.9999750511451524,0.9045719271295516
canonical,EP2664947B1,F0014,quality_gate_stage2,0.0,0.06332292683901511,0.9989419007310504,1.0,0.99788603824349,,,,,
cohort,EP2664947B1,F0014,quality_gate_stage2,0.0,0.06332292683901511,0.9989419007310504,1.0,0.99788603824349,1.0,0.43066651949333407,0.9981227436823106,1.0,0.9962525223407322
canonical,EP2693964B1,F0002,quality_gate_stage2,0.0,0.13508004496994516,0.9766025283163994,1.0,0.9542749081740269,,,,,
cohort,EP2693964B1,F0002,quality_gate_stage2,0.0,0.13508004496994516,0.9766025283163994,1.0,0.9542749081740269,2.8284271247461903,0.5260120674344833,0.9417706207694212,0.9999785329412018,0.8899664213933304
canonical,EP2734148B1,F0001,quality_gate_stage3,0.0,0.0006561799682577239,0.9998500813843914,1.0,0.9997002077132273,1.4142135623730951,0.513349549099136,0.9915254019193304,0.9998702410920509,0.9833187006145742
cohort,EP2734148B1,F0001,quality_gate_stage3,0.0,0.0006561799682577239,0.9998500813843914,1.0,0.9997002077132273,1.4142135623730951,0.513349549099136,0.9915254019193304,0.9998702410920509,0.9833187006145742
canonical,EP2734860B1,F0001,ok,0.0,0.008563154444503538,0.9999141203345872,1.0,0.9998282554185416,1.0,0.14062182701116613,0.9997766821843918,1.0,0.999553464088208
cohort,EP2734860B1,F0001,ok,0.0,0.008563154444503538,0.9999141203345872,1.0,0.9998282554185416,1.0,0.14062182701116613,0.9997766821843918,1.0,0.999553464088208
