run,patent_id,sketch_id,status,stage2_chamfer_p95,stage2_chamfer_sym,stage2_f1_at_2px,stage2_precision_at_2px,stage2_recall_at_2px,stage3_chamfer_p95,stage3_chamfer_sym,stage3_f1_at_2px,stage3_precision_at_2px,stage3_recall_at_2px
before,EP2565056B1,F0001,ok,1.4142135623730951,1.1254730844376177,0.9526149342672695,1.0,0.9095173928232769,7.280109889280518,4.2763952092586175,0.9048875959116552,0.9193194726970121,0.8909018316115187
repaired,EP2565056B1,F0001,ok,0.0,0.03467875480936837,0.9976112160286154,1.0,0.9952338174377402,308.78471464760037,39.72143449456445,0.2689531964481953,0.15730960425769325,0.9264860008983381
before,EP3082506B1,F0001,ok,0.0,0.08134989603868681,0.9924269273096938,1.0,0.9849676953551659,1.0,1.4472990350578154,0.9763195192369959,0.973007115123818,0.979654553196216
repaired,EP3082506B1,F0001,ok,0.0,0.04402198381673844,0.9966845287294408,1.0,0.9933909695095988,1.0,0.21007810488529632,0.9911994284572768,0.991804040366495,0.9905955532517541
